scenario,h_m,section,T_a_c,T_p_c,X_db,Y_kg_kg_da,RH_a_pct,dX_dh,dY_dh,dT_p_dh,dH_h_dh_model,dH_h_dh_sensible_only,dH_particle_sensible_dh,dH_particle_liquid_dh,dH_q_loss_dh,dT_a_dh_model,dT_a_dh_sensible_only,cp_air_j_kg_da_k,liquid_term_share_of_dH_pct
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.22382445141065832,cylinder,92.27482280829207,91.90431612537805,0.02791088817135042,0.04055028560634408,7.53692528472574,-0.21083732191669238,0.004387256267627218,5.662361859713185,1497.3217217714032,-190.5060743722376,-190.5060743722376,1687.8277961436409,-0.0,-9.453357793315364,-11.009013859115417,1084.9620512202441,112.72312233251114
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.2369905956112853,cylinder,92.17853450464946,91.96192768473855,0.025762931332661162,0.04059498185375162,7.571637411755898,-0.12326956904248353,0.002565082806368755,3.301697321142143,876.9698919650098,-110.46547868889384,-110.46547868889384,987.4353706539035,-0.0,-5.524769802215052,-6.434807960906778,1085.0483149777406,112.59626809323817
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.2501567398119123,cylinder,92.12224404906709,91.99554648704066,0.02450681574225187,0.04062112002011984,7.592009004577941,-0.07210596873325921,0.0015004334165434011,1.9281366850238815,513.5078936262751,-64.29904859778864,-64.29904859778864,577.8069422240637,-0.0,-3.2309013347999485,-3.763393825484758,1085.0987616388313,112.52153070982483
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.2633228840125392,cylinder,92.08931902654223,92.0151895202037,0.023771955720054905,0.04063641152168561,7.6039516483165395,-0.0421895575163537,0.0008779109834983506,1.1271270177641834,300.6348561934829,-37.515018988688986,-37.515018988688986,338.1498751821719,-0.0,-1.8901486356775496,-2.2017706652666185,1085.1282742368533,112.47859927610823
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.2764890282131662,cylinder,92.07005575351889,92.02667476519304,0.02334196640861816,0.0406453590518689,7.610948139895552,-0.024689965810721897,0.0005137667575449096,0.6591714227991027,176.00010003106536,-21.915010988073497,-21.915010988073497,197.91511101913883,-0.0,-1.1060492843621652,-1.2884350595250373,1085.145542970107,112.45170371164863
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.2896551724137931,cylinder,92.0587829817689,92.03339342314206,0.023090321595248722,0.04065059546008464,7.6150456321594655,-0.01445040075169614,0.00030069444390236604,0.38567627647894864,103.02921582765838,-12.813855386001512,-12.813855386001512,115.8430712136599,-0.0,-0.6473108336639491,-0.7540633269998215,1085.1556492379634,112.43710852602803
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.3028213166144201,cylinder,92.05218565016366,92.03732462506792,0.0229430422507141,0.040653660155753925,7.617444756929865,-0.0084581677881674,0.0001760037042015859,0.2256819717791791,60.31338902085521,-7.495248485347687,-7.495248485347687,67.80863750620291,-0.0,-0.37887521388654377,-0.4413623492122439,1085.1615641006051,112.42717182209076
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.315987460815047,cylinder,92.04832474198287,92.03962503045324,0.02285684825110082,0.040655453743158654,7.618849155436301,-0.0049515134072446055,0.00010303469059788983,0.1320118905914607,35.313657571816925,-4.383328596740345,-4.383328596740345,39.696986168557274,-0.0,-0.221791660513904,-0.25837318058460607,1085.1650257242964,112.41255904412061
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.32915360501567403,cylinder,92.04606440332225,92.04097168287916,0.02280638575345623,0.040656503803494545,7.619671478340314,-0.002898557201426382,6.031528542208777e-05,0.07729569690651955,20.67229477314883,-2.5661899479975103,-2.5661899479975103,23.238484721146342,-0.0,-0.12983363080482882,-0.15124829195863007,1085.1670523407445,112.41366754952975
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.342319749216301,cylinder,92.04474157030819,92.04175975745602,0.022776853168708165,0.0406571183389874,7.620152775123847,-0.0016971388605871978,3.531529918638851e-05,0.04522316308046203,12.105242066048039,-1.5012767725835556,-1.5012767725835556,13.606518838631597,-0.0,-0.07601766465654908,-0.08855629079507811,1085.1682383942457,112.40187320825446
V2_dynamic_no_heat_loss_304kg_h_lin_gab,0.35548589341692793,cylinder,92.0439675697142,92.04222092007825,0.02275957251783621,0.04065747792733332,7.620434403851049,-0.000994181040868727,2.0687641841850522e-05,0.026396082532560962,7.094482371792193,-0.8762330202345379,-0.8762330202345379,7.970715392026731,-0.0,-0.04452796391153143,-0.05187310175509299,1085.1689323997534,112.35090841466403
